,movies_titles,directeur,scenaristes,pays,vedettes,synopsis,notes,budget
245,Chasing the Dragon,"Jason Kwan, Jing Wong, Aman Chang(co-director)","Koon-Nam Lui (screenplay), Jing Wong, Ming-Ho Yip (screenplay)","Hong Kong, China","Donnie Yen, Andy Lau, Philip Keung, Wilfred Lau","An illegal immigrant from Mainland China sneaks into corrupt British-colonized Hong Kong in 1963, transforming himself into a ruthless and emerging drug lord.",6.8,"$456,854"
246,Jade Dynasty,Siu-Tung Ching,"Jie Shen, Jian Yang (based on a novel by)",China,"Anthony Bao, Hsiao-hsuan Chen, Liwei Chen, David Chiang","After the massacre of his village, Zhang Xiaofan is taken in by the Qing Yun Sect where he begins his journey of cultivation. When he finds out the truth behind the deaths of his parents, ...",5.9,N/A
247,The Tobacconist,Nikolaus Leytner,"Klaus Richter (screenplay), Nikolaus Leytner (screenplay), Robert Seethaler (novel)","Austria, Germany","Simon Morzé, Bruno Ganz, Johannes Krisch, Emma Drogunova","Based on the international bestseller by Robert Seethaler. A tender, heart-breaking story about one young man and his friendship with Sigmund Freud during the Nazi occupation of Vienna....",6.4,N/A
248,Color Out of Space,Richard Stanley,"Scarlett Amaris, H.P. Lovecraft (based on the short story by), Richard Stanley (screenplay)","Malaysia, Portugal, USA","Nicolas Cage, Joely Richardson, Madeleine Arthur, Elliot Knight",A secluded farm is struck by a strange meteorite which has apocalyptic consequences for the family living there and possibly the world.,6.2,N/A
249,1BR,David Marmor,David Marmor,USA,"Nicole Brydon Bloom, Giles Matthey, Taylor Nichols, Alan Blumenfeld","Sarah tries to start anew in LA, but her neighbours are not what they seem.",5.8,N/A
250,The Wolf Hour,Alistair Banks Griffin,Alistair Banks Griffin,"UK, USA","Naomi Watts, Jennifer Ehle, Emory Cohen, Brennan Brown","June was once a known counter-culture figure, but that was a decade ago. She now lives alone in her South Bronx apartment, having all but cut herself off from the outside world. It's the ...",4.9,N/A
251,The Ninth,Nikolay Khomeriki,"Sergei Bodrov (participation), Marina Denisevich (participation), Marina Dyachenko, Sergey Dyachenko, Aleksey Karaulov (comic book), Michael Kupisk, Oleg Mastich (participation), Aleksandr Rodionov, Sergey Snezhkin (participation), Ilya Tilkin (participation), Nadezhda Vorobyova (participation), Kirill Zhurenkov (participation)",Russia,"Evgeniy Tsyganov, Daisy Head, Dmitriy Lysenkov, Yuri Kolokolnikov",Petersburg at the end of the 19th century was embraced by a massive enthusiasm for the occult sciences and esotericism. British medium Olivia Reed arrives in the capital of the Russian ...,5.3,N/A
252,Crazy Romance,Tommy Ga-Shu Leung,N/A,Hong Kong,"Leslie Cheung, Pak-Cheung Chan, Sylvia Chang, Kwok-Wah Siu",N/A,6.8,N/A
253,"Omoi, Omoware, Furi, Furare",Takahiro Miki,Io Sakisaka (manga),Japan,"Minami Hamabe, Takumi Kitamura, Riko Fukumoto, Eiji Akaso","The love affairs of four schoolkids: a romantic, a pragmatist, an airhead and a lothario.",N/A,N/A
254,Honey Boy,Alma Har'el,Shia LaBeouf,USA,"Shia LaBeouf, Lucas Hedges, Noah Jupe, Byron Bowers",A young actor's stormy childhood and early adult years as he struggles to reconcile with his father and deal with his mental health.,7.3,N/A
255,The Death of Dick Long,Daniel Scheinert,Billy Chew,USA,"Michael Abbott Jr., Virginia Newcomb, Andre Hyland, Sarah Baker","Dick died last night, and Zeke and Earl don't want anybody finding out how. That's too bad though, cause news travels fast in small-town Alabama.",6.3,N/A
256,,,,,,,,
257,,,,,,,,
258,,,,,,,,
259,,,,,,,,
260,,,,,,,,
261,,,,,,,,
262,,,,,,,,
263,,,,,,,,
264,,,,,,,,
265,,,,,,,,
266,,,,,,,,
267,,,,,,,,
268,,,,,,,,
269,,,,,,,,
270,,,,,,,,
271,,,,,,,,
272,,,,,,,,
273,Monster Hunter,Paul W.S. Anderson,"Paul W.S. Anderson, Kaname Fujioka (video game series)","China, Germany, Japan, USA","Milla Jovovich, Tony Jaa, T.I., Meagan Good","When Lt. Artemis and her loyal soldiers are transported to a new world, they engage in a desperate battle for survival against enormous enemies with incredible powers. Feature film based on the video game by Capcom.",N/A,N/A
274,,,,,,,,
275,,,,,,,,
276,,,,,,,,
277,,,,,,,,
278,,,,,,,,
279,Malibu Road,Montgomery Markland,"Montgomery Markland, Emilia Bogdanova, Ryan Placchetti",USA,"Jessica Jade Andres, Benita Robledo, Emilia Bogdanova, Ryan Caldwell","Dr. Raymond Forrester, professor of psychology at UCLA, takes student and Hollywood starlet Dorothy Crowder to a Malibu hotel of questionable reputation. The two ingest LSD, sent in a mysterious package to Forrester, and become some of the first Americans to go on a psychedelic experience. The experience takes a turn for the deadly during New Year's Eve 1960 and now the duo must rediscover reality or be trapped in an endless cycle of sex, drugs and murder in 'paradise.'",6.8,N/A
280,,,,,,,,
281,,,,,,,,
282,,,,,,,,
283,Tenet,Christopher Nolan,Christopher Nolan,"USA, UK","Robert Pattinson, Elizabeth Debicki, Aaron Taylor-Johnson, Kenneth Branagh","Armed with only one word -- Tenet -- and fighting for the survival of the entire world, the Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.",N/A,N/A
284,,,,,,,,
285,,,,,,,,
286,,,,,,,,
287,Shakespeare: The King's Man,N/A,N/A,UK,"James Shapiro, Greg Hicks, Kelly Hunter, Dora Thornton",Shakespeare's life and work are sometimes romanticized as a product of the golden age of Elizabeth I. But the bard produced some of his finest plays after the Virgin Queen's death. In this ...,7.0,
288,,,,,,,,
289,,,,,,,,
290,,,,,,,,
291,,,,,,,,
292,,,,,,,,
293,,,,,,,,
294,Black Widow,Bob Rafelson,Ronald Bass,USA,"Debra Winger, Theresa Russell, Sami Frey, Dennis Hopper","Catherine is a black widow. ""She mates and then she kills"". Black Widow is the story of a lady (Catherine) who marries lonely millionaires, waits until they've changed their will to leave all to their beloved wives and then murders them to inherit the fortune. With each man Catherine marries, she changes her appearance to suit the mans personality. Only there's one problem. Alexandra is a smart cookie and has found a link between these unexplained mysterious deaths and the partners wives. But now her only problem is proving that a killer is on the loose and saving herself from the deadly Black Widow.",6.3,N/A
295,No Time to Die,King Ampaw,"King Ampaw, Klaus Bädekerl","Germany, Ghana","Fritz Baffour, Kofi Bucknor, Agnes Dapaa, David Dontoh","Asante, a hearse driver in Ghana, wants a wife. His profession puts most women off. He falls in love with a client whose mother has died, and manages to win her over. But her father forbids marriage to a hearse driver. Asante persists and becomes the first hearse driver in Accra to get married.",7.6,N/A
296,,,,,,,,
297,,,,,,,,
298,Soul Surfer,Sean McNamara,"Sean McNamara (screenplay), Deborah Schwartz (screenplay), Douglas Schwartz (screenplay), Michael Berk (screenplay), Sean McNamara (screen story), Deborah Schwartz (screen story), Douglas Schwartz (screen story), Michael Berk (screen story), Matt Allen (screen story), Caleb Wilson (screen story), Brad Gann (screen story), Bethany Hamilton (book), Sheryl Berk (book), Rick Bundschuh (book)",USA,"AnnaSophia Robb, Helen Hunt, Dennis Quaid, Carrie Underwood","13 year-old Bethany Hamilton is a champion surfer who was born to be in the water. But after a fun night out night surfing and what should be a fun day in the water, she is attacked by a shark and loses her arm. Rushed to the hospital, she remains calm, and maintains her faith in God. Now she has to re-learn how to do everything with only one arm - including how to surf. It will take her friends, family, and her Christian faith to get her back into the water, but if that is where she is meant to be, she will find a way to get there.",7.0,"$43,853,424"
299,Top Gun: Maverick,Joseph Kosinski,"Ehren Kruger (screenplay by), Eric Warren Singer (screenplay by), Christopher McQuarrie (screenplay by), Peter Craig (story by), Justin Marks (story by), Jim Cash (based on characters created by), Jack Epps Jr. (based on characters created by)","USA, China","Jennifer Connelly, Tom Cruise, Val Kilmer, Jon Hamm","After more than thirty years of service as one of the Navy's top aviators, Pete Mitchell is where he belongs, pushing the envelope as a courageous test pilot and dodging the advancement in rank that would ground him.",N/A,N/A
300,,,,,,,,
301,,,,,,,,
302,,,,,,,,
303,,,,,,,,
304,,,,,,,,
305,,,,,,,,
306,,,,,,,,
307,,,,,,,,
308,,,,,,,,
309,,,,,,,,
310,,,,,,,,
311,,,,,,,,
312,,,,,,,,
313,,,,,,,,
314,Tenet,Christopher Nolan,Christopher Nolan,"USA, UK","Robert Pattinson, Elizabeth Debicki, Aaron Taylor-Johnson, Kenneth Branagh","Armed with only one word -- Tenet -- and fighting for the survival of the entire world, the Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.",N/A,N/A
315,,,,,,,,
316,,,,,,,,
317,,,,,,,,
318,,,,,,,,
319,,,,,,,,
320,,,,,,,,
321,,,,,,,,
322,,,,,,,,
323,,,,,,,,
324,,,,,,,,
325,,,,,,,,
326,,,,,,,,
327,,,,,,,,
328,,,,,,,,
329,,,,,,,,
330,,,,,,,,
331,,,,,,,,
332,,,,,,,,
333,Malibu Road,Montgomery Markland,"Montgomery Markland, Emilia Bogdanova, Ryan Placchetti",USA,"Jessica Jade Andres, Benita Robledo, Emilia Bogdanova, Ryan Caldwell","Dr. Raymond Forrester, professor of psychology at UCLA, takes student and Hollywood starlet Dorothy Crowder to a Malibu hotel of questionable reputation. The two ingest LSD, sent in a mysterious package to Forrester, and become some of the first Americans to go on a psychedelic experience. The experience takes a turn for the deadly during New Year's Eve 1960 and now the duo must rediscover reality or be trapped in an endless cycle of sex, drugs and murder in 'paradise.'",6.8,N/A
334,,,,,,,,
335,Toofan,Ketan Desai,"Salim Khan (dialogue), Salim Khan (screenplay), Salim Khan (story), K.K. Shukla (screenplay)",India,"Amitabh Bachchan, Meenakshi Sheshadri, Amrita Singh, Farooq Shaikh","Honest police officer Hanuman Prasad Singh lives like friend and family with a magician by the name of Ramesh Kumar. Hanuman's wife passes away after giving birth to male twin babies; upon finding out that Ramesh's wife, Devyani loses her child and is render barren Hanuman decides to give one of his sons to Ramesh. Unfortunately Ramesh passes away in the midst of performing a stunt while entertaining his audiences leaving the child to be brought up by Devyani who grows up to be Shyam; a magician like his foster father. While on the other hand inspector Hanuman is falsely implicated by the corrupt Assistant Commissioner of Police Sharma and Daku Shaitan Singh for stealing huge number of gold bars. When Hanuman attempt to clear his name by bringing the real culprits to justice he is killed by Shaitan Singh; when his son heard of his death he goes to a temple of Bhagwan Shri Hanuman and pleads to him only to receive a boon with immense strength to fight for people who are subjected to injustice at the hands of tyrants so much that years later he is regarded as Toofan by his village people. Toofan's motive in life involve to clear his father's name by retrieving the stolen gold and at the same time bring the real culprits to justice while Shyam's motive is to perform the stunt that killed his foster father.",4.8,N/A
336,,,,,,,,
337,,,,,,,,
338,,,,,,,,
339,,,,,,,,
340,,,,,,,,
341,,,,,,,,
342,Wonder Woman 1984,Patty Jenkins,"Geoff Johns (story), Patty Jenkins (story), Dave Callaham (screenplay), Geoff Johns (screenplay), Patty Jenkins (screenplay), William Moulton Marston (Wonder Woman created by)","USA, South Korea, Spain","Pedro Pascal, Connie Nielsen, Gal Gadot, Robin Wright",Plot unknown. A sequel to the 2017 superhero film 'Wonder Woman.',N/A,N/A
343,,,,,,,,
344,,,,,,,,
345,,,,,,,,
346,,,,,,,,
347,,,,,,,,
348,,,,,,,,
349,,,,,,,,
350,,,,,,,,
351,,,,,,,,
352,,,,,,,,
353,,,,,,,,
354,,,,,,,,
355,,,,,,,,
356,,,,,,,,
357,,,,,,,,
358,,,,,,,,
359,,,,,,,,
360,,,,,,,,
361,,,,,,,,
362,,,,,,,,
363,,,,,,,,
364,,,,,,,,
365,,,,,,,,
366,,,,,,,,
367,No Time to Die,King Ampaw,"King Ampaw, Klaus Bädekerl","Germany, Ghana","Fritz Baffour, Kofi Bucknor, Agnes Dapaa, David Dontoh","Asante, a hearse driver in Ghana, wants a wife. His profession puts most women off. He falls in love with a client whose mother has died, and manages to win her over. But her father forbids marriage to a hearse driver. Asante persists and becomes the first hearse driver in Accra to get married.",7.6,N/A
368,,,,,,,,
369,,,,,,,,
370,,,,,,,,
371,,,,,,,,
372,,,,,,,,
373,,,,,,,,
374,,,,,,,,
375,The Croods 2,Joel Crawford,"Kirk DeMicco (creator), Dan Hageman (screenplay), Kevin Hageman (screenplay), Chris Sanders (creator)",USA,"Nicolas Cage, Ryan Reynolds, Emma Stone, Leslie Mann","The prehistoric family the Croods are challenged by a rival family the Bettermans, who claim to be better and more evolved.",N/A,N/A
376,,,,,,,,
377,,,,,,,,
378,,,,,,,,
379,,,,,,,,
380,,,,,,,,
381,,,,,,,,
382,,,,,,,,
383,,,,,,,,
384,,,,,,,,
385,,,,,,,,
386,,,,,,,,
387,,,,,,,,
388,,,,,,,,
389,,,,,,,,
390,,,,,,,,
391,,,,,,,,
392,,,,,,,,
393,F9,Justin Lin,"Daniel Casey (screenplay), Gary Scott Thompson (characters)",USA,"Charlize Theron, Vin Diesel, Jordana Brewster, Michelle Rodriguez","Cypher enlists the help of Jakob, Dom's younger brother to take revenge on Dom and his team.",N/A,N/A
394,,,,,,,,
395,,,,,,,,
396,,,,,,,,
397,,,,,,,,
398,,,,,,,,
399,,,,,,,,
400,,,,,,,,
401,,,,,,,,
402,,,,,,,,
403,,,,,,,,
404,,,,,,,,
405,,,,,,,,
406,,,,,,,,
407,,,,,,,,
408,,,,,,,,
409,,,,,,,,
410,,,,,,,,
411,Dreambuilders,"Kim Hagen Jensen, Tonni Zinck","Søren Grinderslev Hansen, Kim Hagen Jensen",Denmark,"Martin Buch, Rasmus Botoft, Mia Lerdam, Ditte Hansen","It centers on Minna, a young girl who misuses her newfound ability to create and control other people's dreams to teach her bothersome stepsister a lesson.",7.2,N/A
412,,,,,,,,
413,,,,,,,,
414,,,,,,,,
415,Mulan,"Tony Bancroft, Barry Cook","Robert D. San Souci (based on a story by), Rita Hsiao (screenplay by), Chris Sanders (screenplay by), Philip LaZebnik (screenplay by), Raymond Singer (screenplay by), Eugenia Bostwick-Singer (screenplay by), Dean DeBlois (story co-head), John Sanford (story), Chris Williams (story), Tim Hodge (story), Julius Aguimatang (story), Burny Mattinson (story), Lorna Cook (story), Barry Johnson (story), Thom Enriquez (story), Ed Gombert (story), Joe Grant (story), Floyd Norman (story), Linda Woolverton (additional story material), Jodi Ann Johnson (additional story material), Alan Ormsby (additional story material), David Reynolds (additional story material), Don Dougherty (additional story material), Jorgen Klubien (additional story material), Denis Rich (additional story material), Joe Ekers (additional story material), Theodore Newton (additional story material), Larry Scholl (additional story material), Daan Jippes (additional story material), Frank Nissen (additional story material), Jeff Snow (additional story material)",USA,"Miguel Ferrer, Harvey Fierstein, Freda Foh Shen, June Foray","This retelling of the old Chinese folktale is about the story of a young Chinese maiden who learns that her weakened and lame father is to be called up into the army in order to fight the invading Huns. Knowing that he would never survive the rigours of war in his state, she decides to disguise herself and join in his place. Unknown to her, her ancestors are aware of this and to prevent it, they order a tiny disgraced dragon, Mushu to join her in order to force her to abandon her plan. He agrees, but when he meets Mulan, he learns that she cannot be dissuaded and so decides to help her in the perilous times ahead.",7.6,N/A
416,,,,,,,,
417,,,,,,,,
418,,,,,,,,
419,Ip Man 4: The Finale,Wilson Yip,"Tai-lee Chan (screenplay), Hiroshi Fukazawa, Lai-Yin Leung (screenplay), Edmond Wong","Hong Kong, China","Donnie Yen, Scott Adkins, Danny Kwok-Kwan Chan, Vanness Wu",The Kung Fu master travels to the U.S. where his student has upset the local martial arts community by opening a Wing Chun school.,7.1,N/A
420,,,,,,,,
421,,,,,,,,
422,,,,,,,,
423,,,,,,,,
424,,,,,,,,
425,Tenet,Christopher Nolan,Christopher Nolan,"USA, UK","Robert Pattinson, Elizabeth Debicki, Aaron Taylor-Johnson, Kenneth Branagh","Armed with only one word -- Tenet -- and fighting for the survival of the entire world, the Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.",N/A,N/A
426,,,,,,,,
427,,,,,,,,
428,,,,,,,,
429,,,,,,,,
430,,,,,,,,
431,,,,,,,,
432,,,,,,,,
433,,,,,,,,
434,The Empty Man,Jeff Edmond,N/A,USA,N/A,"A character driven story about two brothers. Michael Strum, a banker and family man, is made executor of his Mom's will. He is in charge of giving his younger brother David, an attempted suicide survivor and alcoholic, one thousand dollars a month from the estate. As David works out his demons to a clueless therapist, Michael keeps his demons below the surface. When Michael loses his job his calm demeanor slowly gives way to his true self.",N/A,N/A
435,,,,,,,,
436,,,,,,,,
437,,,,,,,,
438,,,,,,,,
439,,,,,,,,
440,Unhinged,Don Gronquist,"Don Gronquist, Reagan Ramsey",USA,"Laurel Munson, Janet Penner, Sara Ansley, Virginia Settle","College students, Terry, Nancy and Gloria are on their way to a rock concert, driving through a torrential rainstorm... only to crash their car, badly injuring one of them. Seeking shelter and aid they come across a house occupied by a man-hating mother and her daughter... our trio soon wish they hadn't.",5.0,N/A
441,,,,,,,,
442,,,,,,,,
443,,,,,,,,
444,Monster Hunter,Paul W.S. Anderson,"Paul W.S. Anderson, Kaname Fujioka (video game series)","China, Germany, Japan, USA","Milla Jovovich, Tony Jaa, T.I., Meagan Good","When Lt. Artemis and her loyal soldiers are transported to a new world, they engage in a desperate battle for survival against enormous enemies with incredible powers. Feature film based on the video game by Capcom.",N/A,N/A
445,A Quiet Place Part II,John Krasinski,"Scott Beck (characters), John Krasinski, Bryan Woods (characters)",USA,"Emily Blunt, Millicent Simmonds, Cillian Murphy, Noah Jupe","Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize the creatures that hunt by sound are not the only threats lurking beyond the sand path.",N/A,N/A
446,,,,,,,,
447,Malibu Road,Montgomery Markland,"Montgomery Markland, Emilia Bogdanova, Ryan Placchetti",USA,"Jessica Jade Andres, Benita Robledo, Emilia Bogdanova, Ryan Caldwell","Dr. Raymond Forrester, professor of psychology at UCLA, takes student and Hollywood starlet Dorothy Crowder to a Malibu hotel of questionable reputation. The two ingest LSD, sent in a mysterious package to Forrester, and become some of the first Americans to go on a psychedelic experience. The experience takes a turn for the deadly during New Year's Eve 1960 and now the duo must rediscover reality or be trapped in an endless cycle of sex, drugs and murder in 'paradise.'",6.8,N/A
448,Shakespeare: The King's Man,N/A,N/A,UK,"James Shapiro, Greg Hicks, Kelly Hunter, Dora Thornton",Shakespeare's life and work are sometimes romanticized as a product of the golden age of Elizabeth I. But the bard produced some of his finest plays after the Virgin Queen's death. In this ...,7.0,
449,The Conjuring: The Devil Made Me Do It,Michael Chaves,"David Leslie Johnson-McGoldrick (screenplay by), David Leslie Johnson-McGoldrick (story), James Wan (story)",USA,"Vera Farmiga, Patrick Wilson, Julian Hilliard, Mitchell Hoog",Plot unknown. Third installment of the Conjuring franchise.,N/A,N/A
450,Honeyland,"Tamara Kotevska, Ljubomir Stefanov","Tamara Kotevska, Ljubomir Stefanov",Republic of North Macedonia,"Hatidze Muratova, Nazife Muratova, Hussein Sam, Ljutvie Sam","The last female bee-hunter in Europe must save the bees and return the natural balance in Honeyland, when a family of nomadic beekeepers invade her land and threaten her livelihood.",8.0,N/A
451,,,,,,,,
452,,,,,,,,
453,,,,,,,,
454,,,,,,,,
455,,,,,,,,
456,,,,,,,,
457,,,,,,,,
458,Candyman,Bernard Rose,"Clive Barker (based on ""The Forbidden"" by), Bernard Rose","USA, UK","Virginia Madsen, Tony Todd, Xander Berkeley, Kasi Lemmons","Helen Lyle is a student who decides to write a thesis about local legends and myths. She visits a part of the town, where she learns about the legend of the Candyman, a one-armed man who appears when you say his name five times, in front of a mirror. Of course, Helen doesn't believe all this stuff, but the people of the area are really afraid. When she ignores their warnings and begins her investigation in the places that he is rumored to appear, a series of horrible murders begins. Could the legend be true?",6.6,N/A
459,Death on the Nile,John Guillermin,Anthony Shaffer (screenplay),UK,"Peter Ustinov, Jane Birkin, Lois Chiles, Bette Davis","Based on the Agatha Christie novel, our favourite Belgian detective, Hercule Poirot, is on a cruise up the Nile. He is surrounded by an interesting assortment of characters, including a wealthy heiress and her husband, on their honeymoon. It appears that everyone hates the heiress...",7.3,N/A
460,,,,,,,,
461,,,,,,,,
462,The French Dispatch,Wes Anderson,"Wes Anderson (screenplay by), Wes Anderson (story), Jason Schwartzman (story), Roman Coppola (story), Hugo Guinness (story)","Germany, USA","Elisabeth Moss, Timothée Chalamet, Saoirse Ronan, Tilda Swinton","A love letter to journalists set in an outpost of an American newspaper in a fictional twentieth century French city that brings to life a collection of stories published in ""The French Dispatch Magazine"".",N/A,N/A
463,,,,,,,,
464,,,,,,,,
465,,,,,,,,
466,,,,,,,,
467,,,,,,,,
468,,,,,,,,
469,,,,,,,,
470,No Time to Die,King Ampaw,"King Ampaw, Klaus Bädekerl","Germany, Ghana","Fritz Baffour, Kofi Bucknor, Agnes Dapaa, David Dontoh","Asante, a hearse driver in Ghana, wants a wife. His profession puts most women off. He falls in love with a client whose mother has died, and manages to win her over. But her father forbids marriage to a hearse driver. Asante persists and becomes the first hearse driver in Accra to get married.",7.6,N/A
471,,,,,,,,
472,Soul Surfer,Sean McNamara,"Sean McNamara (screenplay), Deborah Schwartz (screenplay), Douglas Schwartz (screenplay), Michael Berk (screenplay), Sean McNamara (screen story), Deborah Schwartz (screen story), Douglas Schwartz (screen story), Michael Berk (screen story), Matt Allen (screen story), Caleb Wilson (screen story), Brad Gann (screen story), Bethany Hamilton (book), Sheryl Berk (book), Rick Bundschuh (book)",USA,"AnnaSophia Robb, Helen Hunt, Dennis Quaid, Carrie Underwood","13 year-old Bethany Hamilton is a champion surfer who was born to be in the water. But after a fun night out night surfing and what should be a fun day in the water, she is attacked by a shark and loses her arm. Rushed to the hospital, she remains calm, and maintains her faith in God. Now she has to re-learn how to do everything with only one arm - including how to surf. It will take her friends, family, and her Christian faith to get her back into the water, but if that is where she is meant to be, she will find a way to get there.",7.0,"$43,853,424"
473,,,,,,,,
474,,,,,,,,
475,Free Guy,Shawn Levy,"Matt Lieberman (screenplay by), Matt Lieberman (story by), Zak Penn (screenplay by)",USA,"Jodie Comer, Taika Waititi, Ryan Reynolds, Joe Keery","A bank teller discovers that he's actually an NPC inside a brutal, open world video game.",N/A,N/A
476,,,,,,,,
477,Clifford the Big Red Dog,N/A,N/A,"UK, USA","John Ritter, Grey Griffin, Cree Summer, Kel Mitchell",The adventures of a larger-than-life red dog on Bridwell Island.,6.6,
478,,,,,,,,
479,West Side Story,"Jerome Robbins, Robert Wise","Ernest Lehman (screenplay), Arthur Laurents (book), Jerome Robbins (play)",USA,"Natalie Wood, Richard Beymer, Russ Tamblyn, Rita Moreno","West Side Story is the award-winning adaptation of the classic romantic tragedy, ""Romeo and Juliet"". The feuding families become two warring New York City gangs- the white Jets led by Riff and the Puerto Rican Sharks, led by Bernardo. Their hatred escalates to a point where neither can coexist with any form of understanding. But when Riff's best friend (and former Jet) Tony and Bernardo's younger sister Maria meet at a dance, no one can do anything to stop their love. Maria and Tony begin meeting in secret, planning to run away. Then the Sharks and Jets plan a rumble under the highway - whoever wins gains control of the streets. Maria sends Tony to stop it, hoping it can end the violence. It goes terribly wrong, and before the lovers know what's happened, tragedy strikes and doesn't stop until the climactic and heartbreaking ending.",7.5,N/A
480,Dune,David Lynch,"Frank Herbert (novel), David Lynch (screenplay)","USA, Mexico","Francesca Annis, Leonardo Cimino, Brad Dourif, José Ferrer","In the far future, a duke and his family are sent by the Emperor to a sand world from which comes a spice that is essential for interstellar travel. The move is designed to destroy the duke and his family, but his son escapes and seeks revenge as he uses the world's ecology as one of his weapons.",6.5,N/A
481,Top Gun: Maverick,Joseph Kosinski,"Ehren Kruger (screenplay by), Eric Warren Singer (screenplay by), Christopher McQuarrie (screenplay by), Peter Craig (story by), Justin Marks (story by), Jim Cash (based on characters created by), Jack Epps Jr. (based on characters created by)","USA, China","Jennifer Connelly, Tom Cruise, Val Kilmer, Jon Hamm","After more than thirty years of service as one of the Navy's top aviators, Pete Mitchell is where he belongs, pushing the envelope as a courageous test pilot and dodging the advancement in rank that would ground him.",N/A,N/A
482,,,,,,,,
483,Chaos Walking,Doug Liman,"Charlie Kaufman (screenplay by), Lindsey Beer (screenplay by), John Lee Hancock (screenplay by), Gary Spinelli (screenplay by), Patrick Ness (screenplay by), Patrick Ness (based on the novel by), Andrew Gottlieb, David Rosen",USA,"Daisy Ridley, Tom Holland, Cynthia Erivo, Mads Mikkelsen","In Prentisstown, Todd has been brought up to believe that the Spackle released a germ that killed all the women and unleashed Noise on the remaining men. After discovering a patch of silence out in the swamp, his surrogate parents immediately tell him that he has to run, leaving him with only a map of New World, a message, and many unanswered questions. He soon discovers the source of the silence: a girl, named Viola. The two must hurry to warn an incoming ship of settlers as Mayor Prentiss prepares an army for war.",N/A,N/A
484,,,,,,,,
485,The Eternals,Pierre-Yves Vandeweerd,Pierre-Yves Vandeweerd,"Belgium, France, Azerbaijan",N/A,"We call those who suffer from the melancholy of eternity, eternals. Convinced that death cannot triumph over their lives, they believe that they are doomed to wander in anticipation of the ...",6.6,N/A
486,Peter Rabbit 2: The Runaway,Will Gluck,"Beatrix Potter (based on the characters and tales of ""Peter Rabbit"" by), Will Gluck (screenplay), Patrick Burleigh (screenplay by)","Australia, India, USA, UK, Canada","James Corden, Elizabeth Debicki, Lennie James, Margot Robbie","Thomas and Bea are now married and living with Peter and his rabbit family. Bored of life in the garden, Peter goes to the big city, where he meets shady characters and ends up creating chaos for the whole family.",N/A,N/A
487,,,,,,,,
488,Mortal Kombat,Paul W.S. Anderson,"Ed Boon (video games), John Tobias (video games), Kevin Droney",USA,"Christopher Lambert, Robin Shou, Linden Ashby, Cary-Hiroyuki Tagawa","Based on the popular video game of the same name ""Mortal Kombat"" tells the story of an ancient tournament where the best of the best of different Realms fight each other. The goal - ten wins to be able to legally invade the losing Realm. Outworld has so far collected nine wins against Earthrealm, so it's up to Lord Rayden and his fighters to stop Outworld from reaching the final victory...",5.8,N/A
489,Cinderella,Kenneth Branagh,"Chris Weitz (screenplay by), Charles Perrault (story)","USA, UK","Cate Blanchett, Lily James, Richard Madden, Helena Bonham Carter","A girl named Ella (Cinderella) has the purest heart living in a cruel world filled with evil stepsisters and an evil stepmother out to ruin Ella's life. Ella comes one with her pure heart when she meets the prince and dances her way to a better life with glass shoes, and a little help from her fairy godmother, of course.",6.9,"$183,327,144"
490,,,,,,,,
491,,,,,,,,
492,Tom and Jerry,N/A,"Joseph Barbera, William Hanna",N/A,N/A,A weekly Saturday (later Sunday) Morning repackaged compilation with new wraparounds featuring two Tom and Jerry cartoons sandwiching other MGM animated theatrical shorts.,8.7,
493,The Boss Baby 2,Tom McGrath,Marla Frazee (characters),USA,"Alec Baldwin, James McGrath",No plot is currently known,N/A,N/A
494,F9,Justin Lin,"Daniel Casey (screenplay), Gary Scott Thompson (characters)",USA,"Charlize Theron, Vin Diesel, Jordana Brewster, Michelle Rodriguez","Cypher enlists the help of Jakob, Dom's younger brother to take revenge on Dom and his team.",N/A,N/A
495,Raya and the Last Dragon,"Paul Briggs, Dean Wellins",Adele Lim,USA,"Awkwafina, Cassie Steele","In a realm known as Lumandra, a re-imagined Earth inhabited by an ancient civilization, a warrior named Raya is determined to find the last dragon.",N/A,N/A
496,Ghostbusters: Afterlife,Jason Reitman,"Gil Kenan, Jason Reitman, Dan Aykroyd (based on the 1984 film ""Ghostbusters"" an Ivan Reitman film written by), Harold Ramis (based on the 1984 film ""Ghostbusters"" an Ivan Reitman film written by)","USA, Canada","Finn Wolfhard, Carrie Coon, Sigourney Weaver, Bill Murray","When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.",N/A,N/A
497,Last Night in Soho,Edgar Wright,"Krysty Wilson-Cairns (screenplay), Edgar Wright (screenplay)",UK,"Anya Taylor-Joy, Thomasin McKenzie, Matt Smith, Diana Rigg",Plot unknown. Reported to be a psychological horror film set in London with a female lead.,N/A,N/A
